mongo  | about to fork child process, waiting until server is ready for connections.
mongo            | {"t":{"$date":"2026-03-16T17:29:26.968+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn3","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40648","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.968+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn4","msg":"client metadata","attr":{"remote":"127.0.0.1:40650","client":"conn4","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.968+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn4","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40650","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.972+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn1","msg":"Connection ended","attr":{"remote":"127.0.0.1:40624","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"0139e00b-0255-418c-b9e0-efaeb0636c7b"}},"connectionId":1,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.973+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn3","msg":"Connection ended","attr":{"remote":"127.0.0.1:40648","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"edc21b69-48c0-48cc-a92d-6e7c8be8bbec"}},"connectionId":3,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:26.977+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn4","msg":"Connection ended","attr":{"remote":"127.0.0.1:40650","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"ae18e4c4-de0d-4dae-b2fa-4d6097e9bc27"}},"connectionId":4,"connectionCount":0}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.395+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40656","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"66fb5053-678e-4a1f-b6df-59c5808927a7"}},"connectionId":5,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.407+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn5","msg":"client metadata","attr":{"remote":"127.0.0.1:40656","client":"conn5","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.407+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn5","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40656","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.412+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40670","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"3fe3d9f2-75dc-4902-baf5-d85ee5670475"}},"connectionId":6,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.418+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn6","msg":"client metadata","attr":{"remote":"127.0.0.1:40670","client":"conn6","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.418+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn6","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40670","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.435+00:00"},"s":"I",  "c":"NETWORK",  "id":6788700, "ctx":"conn6","msg":"Received first command on ingress connection since session start or auth handshake","attr":{"elapsedMillis":17}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.525+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40680","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"a46e59fd-2d68-4b3a-bc93-b942f9e43277"}},"connectionId":7,"connectionCount":3}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.525+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40694","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"ec731ed6-cd6d-466f-a742-eff6136baa7b"}},"connectionId":8,"connectionCount":4}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.539+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn7","msg":"client metadata","attr":{"remote":"127.0.0.1:40680","client":"conn7","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.539+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn7","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40680","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.544+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn8","msg":"client metadata","attr":{"remote":"127.0.0.1:40694","client":"conn8","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.544+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn8","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40694","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.565+00:00"},"s":"I",  "c":"NETWORK",  "id":6788700, "ctx":"conn8","msg":"Received first command on ingress connection since session start or auth handshake","attr":{"elapsedMillis":20}}
mongo            | admin> | | | | {"t":{"$date":"2026-03-16T17:29:27.833+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"conn8","msg":"createCollection","attr":{"namespace":"admin.system.users","uuidDisposition":"generated","uuid":{"uuid":{"$uuid":"57fe3222-3ff8-4c81-bf9d-42a7778f4888"}},"options":{}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.864+00:00"},"s":"I",  "c":"REPL",     "id":7360102, "ctx":"conn8","msg":"Added oplog entry for create to transaction","attr":{"namespace":"admin.$cmd","uuid":{"uuid":{"$uuid":"57fe3222-3ff8-4c81-bf9d-42a7778f4888"}},"object":{"create":"system.users","idIndex":{"v":2,"key":{"_id":1},"name":"_id_"}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.865+00:00"},"s":"I",  "c":"REPL",     "id":7360100, "ctx":"conn8","msg":"Added oplog entry for createIndexes to transaction","attr":{"namespace":"admin.$cmd","uuid":{"uuid":{"$uuid":"57fe3222-3ff8-4c81-bf9d-42a7778f4888"}},"object":{"createIndexes":"system.users","name":"user_1_db_1","key":{"user":1,"db":1},"unique":true,"v":2}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.876+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"conn8","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"57fe3222-3ff8-4c81-bf9d-42a7778f4888"}},"namespace":"admin.system.users","index":"_id_","ident":"index-8-5974268510761800882","collectionIdent":"collection-7-5974268510761800882","commitTimestamp":null}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.876+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"conn8","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"57fe3222-3ff8-4c81-bf9d-42a7778f4888"}},"namespace":"admin.system.users","index":"user_1_db_1","ident":"index-9-5974268510761800882","collectionIdent":"collection-7-5974268510761800882","commitTimestamp":null}}
mongo            | { ok: 1 }
mongo            | admin> {"t":{"$date":"2026-03-16T17:29:27.891+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn5","msg":"Connection ended","attr":{"remote":"127.0.0.1:40656","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"66fb5053-678e-4a1f-b6df-59c5808927a7"}},"connectionId":5,"connectionCount":3}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.891+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn8","msg":"Connection ended","attr":{"remote":"127.0.0.1:40694","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"ec731ed6-cd6d-466f-a742-eff6136baa7b"}},"connectionId":8,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.892+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn6","msg":"Connection ended","attr":{"remote":"127.0.0.1:40670","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"3fe3d9f2-75dc-4902-baf5-d85ee5670475"}},"connectionId":6,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:27.893+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn7","msg":"Connection ended","attr":{"remote":"127.0.0.1:40680","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"a46e59fd-2d68-4b3a-bc93-b942f9e43277"}},"connectionId":7,"connectionCount":0}}
mongo            | 
mongo            | /usr/local/bin/docker-entrypoint.sh: running /docker-entrypoint-initdb.d/init-user.js
mongo            | {"t":{"$date":"2026-03-16T17:29:29.320+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40588","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"3a61736d-c257-4093-933d-c6d1e0670295"}},"connectionId":9,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.322+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn9","msg":"client metadata","attr":{"remote":"127.0.0.1:40588","client":"conn9","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.323+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn9","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40588","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.327+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40604","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"857f0e32-80c3-4903-a5df-db88aeb68215"}},"connectionId":10,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.330+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn10","msg":"client metadata","attr":{"remote":"127.0.0.1:40604","client":"conn10","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.331+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn10","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40604","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.355+00:00"},"s":"I",  "c":"NETWORK",  "id":6788700, "ctx":"conn10","msg":"Received first command on ingress connection since session start or auth handshake","attr":{"elapsedMillis":25}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.409+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40620","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"bf121b6a-58aa-4503-8e35-f1ed39270033"}},"connectionId":11,"connectionCount":3}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.410+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:40636","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"7c7c7b97-a215-4916-a042-d1277741e222"}},"connectionId":12,"connectionCount":4}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.447+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn11","msg":"client metadata","attr":{"remote":"127.0.0.1:40620","client":"conn11","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.448+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn11","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40620","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.456+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn12","msg":"client metadata","attr":{"remote":"127.0.0.1:40636","client":"conn12","negotiatedCompressors":[],"doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.457+00:00"},"s":"I",  "c":"ACCESS",   "id":10483900,"ctx":"conn12","msg":"Connection not authenticating","attr":{"client":"127.0.0.1:40636","doc":{"application":{"name":"mongosh 2.7.0"},"driver":{"name":"nodejs|mongosh","version":"7.1.0|2.7.0"},"platform":"Node.js v24.13.1, LE","os":{"name":"linux","architecture":"x64","version":"3.10.0-327.22.2.el7.x86_64","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.472+00:00"},"s":"I",  "c":"NETWORK",  "id":6788700, "ctx":"conn12","msg":"Received first command on ingress connection since session start or auth handshake","attr":{"elapsedMillis":15}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.542+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn12","msg":"Connection ended","attr":{"remote":"127.0.0.1:40636","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"7c7c7b97-a215-4916-a042-d1277741e222"}},"connectionId":12,"connectionCount":3}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.543+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn10","msg":"Connection ended","attr":{"remote":"127.0.0.1:40604","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"857f0e32-80c3-4903-a5df-db88aeb68215"}},"connectionId":10,"connectionCount":2}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.544+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn11","msg":"Connection ended","attr":{"remote":"127.0.0.1:40620","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"bf121b6a-58aa-4503-8e35-f1ed39270033"}},"connectionId":11,"connectionCount":1}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.547+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn9","msg":"Connection ended","attr":{"remote":"127.0.0.1:40588","isLoadBalanced":false,"uuid":{"uuid":{"$uuid":"3a61736d-c257-4093-933d-c6d1e0670295"}},"connectionId":9,"connectionCount":0}}
mongo            | 
mongo            | 
mongo            | 
mongo            | {"t":{"$date":"2026-03-16T17:29:29.572+00:00"},"s":"I",  "c":"CONTROL",  "id":20698,   "ctx":"main","msg":"***** SERVER RESTARTED *****"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.573+00:00"},"s":"I",  "c":"NETWORK",  "id":4915701, "ctx":"main","msg":"Initialized wire specification","attr":{"spec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":21},"outgoing":{"minWireVersion":6,"maxWireVersion":21},"isInternalClient":true}}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.576+00:00"},"s":"I",  "c":"CONTROL",  "id":23285,   "ctx":"main","msg":"Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.580+00:00"},"s":"I",  "c":"NETWORK",  "id":4648601, "ctx":"main","msg":"Implicit TCP FastOpen unavailable. If TCP FastOpen is required, set tcpFastOpenServer, tcpFastOpenClient, and tcpFastOpenQueueSize."}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.582+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationDonorService","namespace":"config.tenantMigrationDonors"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.582+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationRecipientService","namespace":"config.tenantMigrationRecipients"}}
mongo            | Killing process with pid: 28
mongo            | {"t":{"$date":"2026-03-16T17:29:29.583+00:00"},"s":"I",  "c":"CONTROL",  "id":23377,   "ctx":"SignalHandler","msg":"Received signal","attr":{"signal":15,"error":"Terminated"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.583+00:00"},"s":"I",  "c":"CONTROL",  "id":23378,   "ctx":"SignalHandler","msg":"Signal was sent by kill(2)","attr":{"pid":120,"uid":999}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.583+00:00"},"s":"I",  "c":"CONTROL",  "id":23381,   "ctx":"SignalHandler","msg":"will terminate after current cmd ends"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.584+00:00"},"s":"I",  "c":"REPL",     "id":4784900, "ctx":"SignalHandler","msg":"Stepping down the ReplicationCoordinator for shutdown","attr":{"waitTimeMillis":15000}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.585+00:00"},"s":"I",  "c":"REPL",     "id":4794602, "ctx":"SignalHandler","msg":"Attempting to enter quiesce mode"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.585+00:00"},"s":"I",  "c":"-",        "id":6371601, "ctx":"SignalHandler","msg":"Shutting down the FLE Crud thread pool"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.585+00:00"},"s":"I",  "c":"COMMAND",  "id":4784901, "ctx":"SignalHandler","msg":"Shutting down the MirrorMaestro"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.585+00:00"},"s":"I",  "c":"SHARDING", "id":4784902, "ctx":"SignalHandler","msg":"Shutting down the WaitForMajorityService"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.587+00:00"},"s":"I",  "c":"CONTROL",  "id":4784903, "ctx":"SignalHandler","msg":"Shutting down the LogicalSessionCache"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.588+00:00"},"s":"I",  "c":"NETWORK",  "id":20562,   "ctx":"SignalHandler","msg":"Shutdown: going to close listening sockets"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.589+00:00"},"s":"I",  "c":"NETWORK",  "id":23017,   "ctx":"listener","msg":"removing socket file","attr":{"path":"/tmp/mongodb-27017.sock"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.589+00:00"},"s":"I",  "c":"NETWORK",  "id":4784905, "ctx":"SignalHandler","msg":"Shutting down the global connection pool"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.590+00:00"},"s":"I",  "c":"CONTROL",  "id":4784906, "ctx":"SignalHandler","msg":"Shutting down the FlowControlTicketholder"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.591+00:00"},"s":"I",  "c":"-",        "id":20520,   "ctx":"SignalHandler","msg":"Stopping further Flow Control ticket acquisitions."}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.592+00:00"},"s":"I",  "c":"CONTROL",  "id":4784908, "ctx":"SignalHandler","msg":"Shutting down the PeriodicThreadToAbortExpiredTransactions"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.594+00:00"},"s":"I",  "c":"REPL",     "id":4784909, "ctx":"SignalHandler","msg":"Shutting down the ReplicationCoordinator"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.597+00:00"},"s":"I",  "c":"SHARDING", "id":4784910, "ctx":"SignalHandler","msg":"Shutting down the ShardingInitializationMongoD"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.597+00:00"},"s":"I",  "c":"REPL",     "id":4784911, "ctx":"SignalHandler","msg":"Enqueuing the ReplicationStateTransitionLock for shutdown"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.597+00:00"},"s":"I",  "c":"-",        "id":4784912, "ctx":"SignalHandler","msg":"Killing all operations for shutdown"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.597+00:00"},"s":"I",  "c":"-",        "id":4695300, "ctx":"SignalHandler","msg":"Interrupted all currently running operations","attr":{"opsKilled":3}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.597+00:00"},"s":"I",  "c":"TENANT_M", "id":5093807, "ctx":"SignalHandler","msg":"Shutting down all TenantMigrationAccessBlockers on global shutdown"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.597+00:00"},"s":"I",  "c":"ASIO",     "id":22582,   "ctx":"TenantMigrationBlockerNet","msg":"Killing all outstanding egress activity."}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"ASIO",     "id":6529201, "ctx":"SignalHandler","msg":"Network interface redundant shutdown","attr":{"state":"Stopped"}}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"ASIO",     "id":22582,   "ctx":"SignalHandler","msg":"Killing all outstanding egress activity."}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"COMMAND",  "id":4784913, "ctx":"SignalHandler","msg":"Shutting down all open transactions"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"REPL",     "id":4784914, "ctx":"SignalHandler","msg":"Acquiring the ReplicationStateTransitionLock for shutdown"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"INDEX",    "id":4784915, "ctx":"SignalHandler","msg":"Shutting down the IndexBuildsCoordinator"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"NETWORK",  "id":4784918, "ctx":"SignalHandler","msg":"Shutting down the ReplicaSetMonitor"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"SHARDING", "id":4784921, "ctx":"SignalHandler","msg":"Shutting down the MigrationUtilExecutor"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"ASIO",     "id":22582,   "ctx":"MigrationUtil-TaskExecutor","msg":"Killing all outstanding egress activity."}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"COMMAND",  "id":4784923, "ctx":"SignalHandler","msg":"Shutting down the ServiceEntryPoint"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"CONTROL",  "id":4784927, "ctx":"SignalHandler","msg":"Shutting down the HealthLog"}
mongo            | {"t":{"$date":"2026-03-16T17:29:29.598+00:00"},"s":"I",  "c":"CONTROL",  "id":4784928, "ctx":"SignalHandler","msg":"Shutting down the TTL monitor"}
